Company Name, Phone, Email, Website
Basell Benelux B.V. (Moerdijk),0168-38 44 04,NaN,www.lyondellbasell.com/moerdijk
BASF Nederland B.V  (De Meern),030-666 15 31,NaN,www.basf.com
BASF Nederland B.V. (Arnhem),NaN,info@basf.nl,www.basf.nl
BASF Nederland B.V. (Heerenveen),0513-61 96 00,NaN,www.basf.com
Bio MCN B.V. (Farmsum),088-664 77 47,NaN,www.biomcn.eu
BioBTX BV (Groningen),NaN,info@knnadvies.nl,NaN
Borealis Plastomers BV (Geleen),NaN,NaN,www.borealisgroup.com
Cabot B.V. (Botlek Rt.),0181-29 17 83,NaN,www.cabotcorp.com
Cabot Norit Nederland B.V. (Zaandam),075-615 67 29,NaN,www.cabotcorp.com
Cabot Norit Nederland B.V. (Klazienaveen),0591-31 94 00,NaN,www.cabotcorp.com
Cabot Norit Nederland B.V. (Amersfoort),033-461 74 29,NaN,www.cabotcorp.com
Caldic Chemie B.V. (Rotterdam),010-404 74 58,info@caldic.nl,www.caldic.com
Caldic Chemie B.V. (Europoort RT.),0181-26 33 91,europoort@caldic.nl,www.caldic.com
Carbogen Amcis (Veenendaal),0318-52 93 74,NaN,www.carbogen-amcis.com
Cerexagri B.V. (Vondelingenplaat Rt.),010-472 51 00,NaN,www.cerexagri.nl
Chaincraft  (Amsterdam),NaN,info@chaincraft.nl,www.chaincraft.nl
ChemCom Industries BV  (Delfzijl),0596-61 07 92,NaN,www.chemcom.eu
Chemours Nederland B.V. (Dordrecht),NaN,NaN,NaN
Coatex Netherlands B.V. (Moerdijk),0168-40 90 24,NaN,www.coatex.com
Corbion N.V. (Gorinchem),0183-69 56 00,pnl@corbion.com,www.corbion.com
Crealis Nederland B.V. (Bergen op Zoom),0164-21 28 46,NaN,www.dehon.com
Croda Nederland B.V. (Gouda),0182-54 22 50,NaN,www.croda.com
Cumapol Emmen B.V. (Zevenaar),NaN,NaN,www.cumapol.com
Cumapol Emmen B.V. (Emmen),NaN,NaN,www.cumapol.com
Akzo Delamine B.V. (Amersfoort) ,033-467 68 91,NaN,www.delamine.com
Akzo Delamine B.V. (Delfzijl),NaN,NaN,www.delamine.com
Dow Benelux B.V. (Terneuzen),0115-67 20 35,beneluxinfo@dow.com,www.dowbenelux.com
Dow Benelux B.V. (Farmsum),0596-67 50 00,NaN,www.dow.com
Dr.  W. Kolb Nederland B.V.(Klundert),0168-33 04 81,Secretariaat_NL@kolb.ch,www.kolb.ch
DSM Bio-based Producs & Services B.V. (Delft),015-279 91 11,info.bio-based@dsm.com,www.dsm.com
DSM Biogas (Urmond),NaN,NaN,www.dsm.com
DSM Biologics (Sittard),046-477 36 05,NaN,www.dsmbiologics.com
DSM Biosolutions (Delft),NaN,NaN,www.dsm.com
DSM Biotechnology Center (Delft),015-279 91 11,right.science@dsm.com,www.dsm.com
DSM Coating Resins (Zandpol),NaN,NaN,www.dsmcoatingresins.com
DSM Coating Resins (Sittard),046-477 33 23,NaN,www.dsmcoatingresins.com
DSM Coating Resins (Waalwijk),0416-68 99 22,NaN,www.dsmcoatingresins.com
DSM Coating Resins & Functional Materials . (Zwolle),NaN,NaN,www.dsmcoatingresins.com
DSM Corporate ICT (Sittard),NaN,NaN,www.dsm.com
DSM Dyneema (Heerlen),045-542 79 29,NaN,www.dyneema.com
DSM Dyneema B.V. (Urmond),NaN,NaN,www.dsm.com/dyneema
DSM Engineering Plastics (Geleen),046-476 87 84,NaN,www.dsmep.com
DSM Engineering Plastics (Sittard),046-476 04 00,NaN,www.dsmep.com
DSM Engineering Plastics Emmen BV,0591-69 33 32,NaN,www.dsmep.com
DSM Fine Chemicals (Sittard),046-477 36 05,NaN,www.dsm.com
DSM Fine Chemicals (Geleen),046-476 65 87,NaN,www.dsm.com
DSM Food Specialties Testcentrum (Delft),015-270 04 56,NaN,www.dsmfoodspecialties.com
DSM Functional Materials (Hoek van Holland),0174-31 55 23,NaN,www.dsmfunctionalmaterials.com
DSM HR Nederland (Sittard),NaN,NaN,www.dsm.com
Eastman Chemical  B.V.,010 240 21 11,NaN,NaN
Eastman Chemical EMEA  B.V. (Capelle aan den IJssel),010-240 21 11,NaN,www.eastman.com
Eastman Chemical Middelburg B.V. (Middelburg),0118-63 88 27,NaN,www.eastman.com
Emerald Kalama Chemical B.V. (Geleen),046-476 47 80,NaN,www.emeraldmaterials.com
Emerald Kalama Chemical B.V. (Botlek Rt.),0181-21 80 04,NaN,www.emeraldmaterials.com
ESD-SIC B.V. (Farmsum),0596-61 07 38,info@esd-sic.nl,www.esd-sic.nl
ExxonMobil Chemical Holland B.V. (Breda),076-529 27 00,NaN,www.exxonchemical.com
ExxonMobil Chemical Holland B.V.,010-416 45 44,NaN,www.exxonchemical.com
ExxonMobil Chemical Holland B.V. (RAP) (Botlek Rt.),010-416 12 63,NaN,www.exxonchemical.com
ExxonMobil Chemical Holland B.V. Rotterdam ( oxo-alcohol plant)(Europoort Rt.),0181-25 58 92,NaN,www.exxonchemical.com
Fujifilm Manufacturing Europe B.V. (Tilburg),013-570 11 15,NaN,www.fujitilburg.nl
Hexion B.V. (Botlek),010-263 00 03,NaN,www.hexion.com
Hexion B.V. (Pernis RT.),010-295 21 21,NaN,www.hexion.com
Hexion B.V. (Rotterdam),NaN,NaN,www.hexion.com
Huntsman Holland B.V. (Botlek Rt.),0181-29 39 00,NaN,www.huntsman.nl
ICL-IP Europe B.V. (Amsterdam),020-800 58 05,info@icl-ip.com,www.icl-industrial.com
ICL-IP Terneuzen B.V. (Terneuzen),0115-61 72 91,terneuzen@icl-ip.com,www.iclip-terneuzen.com
Johnson Matthey Advanced Glass Technologies B.V.. (Maastricht),043-352 55 55,jmbv@matthey.com,www.colours.matthey.com
Kemira Rotterdam B.V. (Europoort Rt.),NaN,NaN,NaN
Kemira Rotterdam B.V. (Rotterdam Botlek),NaN,NaN,www.kemira.com
Kisuma Chemicals B.V. (Veendam),0598-69 07 92,info@kisuma.com,www.kisuma.com
KLK Kolb Specialties B.V.,074-377 50 75,NaN,www.elementis-specialties.com
Koninklijke DSM N.V. (Heerlen),045-571 97 53,NaN,www.dsm.com
Latexfalt B.V. (Koudekerk aan den Rijn),071-341 59 46,info@latexfalt.com,www.latexfalt.com
Lubrizol Advanced Materials Resin B.V. (Delfzijl),0596-64 87 00,NaN,www.noveon.com
Lyondell Bayer Manufacturering Maasvlakte VOF,0181-23 50 99,NaN,www.lyondellbasell.com/maasvlakte
Lyondell Chemie Nederland B.V. (Botlek Rt.),0181-29 49 99,NaN,www.lyondellbasell.com/botlek
Lyondellbasell Industries Holdings B.V. (Rotterdam),010-713 62 59,NaN,www.lyondellbasell.com
Maschem BV (Hoek),NaN,NaN,NaN
Meststoffen Nederland (Den Haag),070-320 39 03,secretariaat@meststoffennederland.nl,www.meststoffennederland.nl
Momentive Performance Materials Silicones B.V.,NaN,NaN,NaN
Nedmag B.V. (Veendam),0598-65 12 26 ,info@nedmag.nl,www.nedmag.nl
Niacet B.V. (Tiel),NaN,NaN,www.niacet.com
Nouryon Amsterdam,NaN,NaN,NaN
Nouryon Arnhem (Kleefse Waard),NaN,NaN,NaN
Nouryon Arnhem (Velperweg),NaN,NaN,NaN
Nouryon Chemiepark Delfzijl,NaN,NaN,NaN
Nouryon Deventer,NaN,NaN,NaN
Nouryon Dordrecht,NaN,NaN,NaN
Nouryon Geleen,NaN,NaN,NaN
Nouryon Hengelo,NaN,NaN,NaN
Nouryon Herkenbosch,NaN,NaN,NaN
Nouryon Rotterdam Botlek,NaN,NaN,NaN
Nouryon Westerlee,NaN,NaN,NaN
Nyrstar Budel B.V. (Budel-Dorplein),0495-51 82 85,NaN,www.nyrstar.com
OCI Nitrogen B.V. (Geleen),046-452 86 15 ,NaN,wwwocinitrogen.com
Olin,0115-69 21 10,NaN,NaN
Organik Kimya Netherlands B.V. (Botlek Rt.),010-295 48 29,NaN,www.organik.com.tr
PCO Europe B.V. (Etten-Leur),076-501 43 21,sales@pco-eu.com,www.pco-eu.com
Pectcof(Dwingeloo),NaN,NaN,NaN
PPG Industries Chemicals B.V. (Farmsum),0596-61 20 10,NaN,www.ppg.com
QCP B.V. (Geleen),NaN,sales@qcpolymers.com,NaN
RÜTGERS Resins BV  ( Uithoorn),0297-54 01 96,NaN,www.resinall.com
SABIC (Geleen),046-476 86 00,NaN,www.sabic-europetrochemicals.com
SABIC (Sittard),046-476 05 30,NaN,www.sabic-europe.com
SABIC (Bergen op Zoom),0164-29 29 40,NaN,www.sabic-ip.com
SACHEM Europe B.V. (Zaltbommel),0418-68 20 82,sales@sachemeurope.nl,www.sacheminc.com
Schmits Chemical Solutions (Almelo),0546-57 50 60,info@schmits.nl,www.schmits.nl
Sel Chemie B.V. (Aalten),0543 -47 66 00,info@selchemie.com,www.selchemie.com
Shell Chemicals Europe (SCE) (Rotterdam),NaN,customer-centre-benelux-norden@shell.com,www.shell.com/chemicals
Shell Nederland Chemie B.V. (Vondelingenplaat Rt.),010-231 71 86,NaN,www.shell.com/chemicals
Shell Nederland Chemie B.V. (Moerdijk),0168-35 54 15,NaN,www.shell.com/chemicals
Shin-Etsu PVC B.V. (Hilversum),035-685 09 89,NaN,www.shinetsu.co.jp
Shin-Etsu PVC B.V. (Botlek Rt.),010-438 97 63,NaN,www.shinetsu.nl
Shin-Etsu PVC B.V. (Pernis Rt.),010-431 38 98,info@shin-etsu.nl,www.shin-etsu.nl
Solvay Chemie B.V. (Herten),0475-38 48 04,solvay.chemie@solvay.com,www.solvay.com
Solvay Solutions Nederland B.V. (Klundert),NaN,NaN,NaN
TANATEX Chemicals B.V. (Ede - Gld.),0318- 67 09 11,NaN,www.tanatexchemicals.com
Teijin Aramid B.V. (Farmsum),088-268 84 10,NaN,www.teijinaramid.com
Teijin Aramid B.V. (Emmen),0591-69 29 13,information@teijinaramid.com,www.teijinaramid.com
Teijin Aramid B.V. (Arnhem),088-268 91 81,information@teijinaramid.com,www.teijinaramid.com
The GTBE Company N.V. (Enschede),053-711 25 99,info@procede.nl,www.procede.nl
Triade BV. (Honselersdijk),0174-27 22 70,info@triade.nl,wwww.triade.nl
Trinseo Netherlands B.V. (Terneuzen),NaN,NaN,www.trinseo.com
Utility Support Group B.V. ,010-264 40 65,NaN,www.dsm.com
VFIG Vereniging van Fabrikanten van Industriële Gassen (Den Haag),070-337 87 56,info@vfig.nl,www.vfig.nl
NEA Vereniging van Geur- en Smaakstoffenfabrikanten (Den Haag),070-320 39 03,secretariaat@nea-nederland.nl,www.nea-nederland.nl
